V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
-3.090935238,-2.204357838,-0.875666838,-0.163917358,0.615635922,1.741165162,2.897909362,1.513331262,-0.047189678,-1.566800538,0.42491556,0.99853156,1.18235256,1.03452006,1.21171106,1.00783156,0.37419556,-0.96291544,-1.16567564,-0.91873304,-1.96747953,-0.82380053,0.07577647,0.16898247,0.11466187,-0.53441053,-1.75918493,-0.50388253,0.01181447,-0.51436753
-3.252079012,-2.160639012,-0.681218112,-0.045898932,0.709914988,2.110435788,3.316489288,1.838928588,0.182274528,-1.659269312,0.6656512,1.1118282,1.2778949,1.118398,1.2813782,1.169108,0.7392302,-0.6480078,-1.0500648,-0.7108375,-2.2488186,-0.659436,0.3162135,0.348964,0.2798955,-0.683112,-2.076486,-0.749841,-0.0202506,-0.682245
-3.130084873,-1.974026073,-0.418159473,0.222876277,0.776031577,2.125060227,3.323550227,2.138736627,0.103952217,-1.871045773,0.48185234,1.08542434,1.34913034,1.26412374,1.34969174,1.14784934,0.64095464,-0.84406726,-1.16960466,-1.00616726,-1.9277141,-0.4870231,0.3279129,0.3230749,0.2136649,-0.8339531,-2.1393691,-0.8270021,-0.0099361,-0.5265291
-3.381072412,-2.222332412,-0.721967642,-0.146093712,0.642142849,1.962978889,3.363383089,2.004844189,0.059697083,-1.824013412,0.0882366,0.8141358,1.0620077,0.8707835,1.0444249,0.8094479,0.0439975,-1.0156634,-1.0815634,-1.1432067,-2.0640536,-0.6138776,0.1235004,0.1244574,0.1122384,-0.5043136,-1.9319706,-0.4728922,0.1025974,-0.4198391
-3.372963442,-2.066137442,-0.716782312,0.052324599,0.898538259,1.964413559,3.493949459,1.744302359,0.154552849,-1.552889942,0.73515781,1.08631821,1.15802221,0.95225821,1.18489891,1.09708671,0.86014501,-0.85254649,-1.05514839,-0.84905539,-1.66459792,-0.02728142,0.73035408,0.74810708,0.65269308,-0.07108492,-2.04627292,-0.68071192,-0.03209942,-0.31904792
-2.993978358,-2.020075458,-0.512836658,0.096057042,0.769793172,2.200276342,3.227669442,1.685966142,0.149097062,-1.607068858,0.3871463,1.1290379,1.408225,1.2805785,1.4786303,1.2378279,0.7945705,-0.6184248,-1.0153961,-0.8514654,-2.10109185,-0.72459045,-0.09043445,-0.04796245,-0.20066685,-1.01998795,-2.48455275,-0.96345445,-0.36567945,-0.77007445
-3.289263463,-2.055758863,-0.829896763,0.05231411,0.933712437,2.294642137,3.233231537,1.864206737,0.083620793,-1.918674663,0.17834219,0.72661869,0.98382559,0.92609039,1.00405329,0.88980079,0.33749489,-1.11748521,-1.26423441,-1.11510701,-2.3809324,-0.6221744,0.2150236,0.3225076,0.1762576,-0.9839048,-2.5433368,-0.8837034,-0.0995939,-0.6338154
-3.1019668,-1.982872,-0.8031898,-0.001110749,0.8762553,1.9925973,2.9257557,1.761953,-0.03872854,-1.7408808,0.50830598,1.11571048,1.13091298,0.95165048,1.20880848,1.22928288,0.61767248,-0.69952452,-1.10590302,-0.85372652,-1.74661625,-0.68507265,0.13259735,0.24418435,0.13258685,-0.62679665,-1.87245465,-0.74896315,-0.03773365,-0.52195865
-3.610092556,-2.337415056,-1.108579056,-0.203638696,1.088633144,2.158524444,3.354303944,2.084888244,-0.025689694,-2.068481056,0.78783562,1.11816402,1.25510162,1.04863762,1.28736142,1.16693202,0.94633522,-0.75419838,-1.08420798,-0.82101828,-2.35634279,-0.59045979,0.29279821,0.44778921,0.09518121,-0.85429459,-2.53155179,-1.16226919,-0.06238279,-0.91212229
-3.06342948,-2.04866598,-0.82723388,-0.07551422,0.78046912,1.92199982,2.84379102,1.63422172,0.0825337,-1.61990448,0.50093856,0.84108216,1.14963016,1.05038156,1.11124116,0.79737366,0.44612566,-0.83434784,-1.14363584,-0.79539984,-2.28958438,-0.93230468,-0.07366468,0.07921332,-0.07489468,-0.87925968,-2.23811598,-1.15515068,-0.55109868,-1.04058268
